1,James Bond,IC,7,28/2/1920
2,Ian Flaming,IC,7,28/2/1920
3,James Bond,IC,777,30/12/1990
4,Obi Wan,IC,8000,31/3/1971
5,Darth Vader,PP,12345678,30/12/1990
6,Obi Wan,FT,168,31/3/1971
7,James Bond,IC,5763610.267,28/2/1920
8,Ian Flaming,IC,6822040.01,28/2/1920
9,James Bond,IC,7880469.752,30/12/1990
10,Obi Wan,IC,8938899.495,31/3/1971
11,Darth Vader,PP,9997329.238,30/12/1990
12,Obi Wan,FT,11055758.98,31/12/1990
13,James Bond,IC,12114188.72,1/1/1991
14,Ian Flaming,IC,13172618.47,2/1/1991
15,James Bond,IC,14231048.21,3/1/1991
16,Obi Wan,IC,15289477.95,4/1/1991
17,Darth Vader,PP,16347907.7,5/1/1991
18,Obi Wan,FT,17406337.44,6/1/1991
19,James Bond,IC,18464767.18,7/1/1991
20,Ian Flaming,IC,19523196.92,8/1/1991
21,James Bond,IC,20581626.67,9/1/1991
22,Obi Wan,IC,21640056.41,10/1/1991
23,Darth Vader,PP,22698486.15,11/1/1991
24,Obi Wan,FT,23756915.9,12/1/1991
25,James Bond,IC,24815345.64,13/1/1991
26,Ian Flaming,IC,25873775.38,14/1/1991
27,James Bond,IC,26932205.12,15/1/1991
28,Obi Wan,IC,27990634.87,16/1/1991
29,Darth Vader,PP,29049064.61,17/1/1991
30,Obi Wan,FT,30107494.35,18/1/1991
31,James Bond,IC,31165924.1,19/1/1991
32,Ian Flaming,IC,32224353.84,20/1/1991
33,James Bond,IC,33282783.58,21/1/1991
34,Obi Wan,IC,34341213.32,22/1/1991
35,Darth Vader,PP,35399643.07,23/1/1991
36,Obi Wan,FT,36458072.81,24/1/1991
37,James Bond,IC,37516502.55,25/1/1991
38,Ian Flaming,IC,38574932.3,26/1/1991
39,James Bond,IC,39633362.04,27/1/1991
40,Obi Wan,IC,40691791.78,28/1/1991
41,Darth Vader,PP,41750221.52,29/1/1991
42,Obi Wan,FT,42808651.27,30/1/1991
43,James Bond,IC,43867081.01,31/1/1991
44,Ian Flaming,IC,44925510.75,1/2/1991
45,James Bond,IC,45983940.5,2/2/1991
46,Obi Wan,IC,47042370.24,3/2/1991
47,Darth Vader,PP,48100799.98,4/2/1991
48,Obi Wan,FT,49159229.72,5/2/1991
49,James Bond,IC,50217659.47,6/2/1991
50,Ian Flaming,IC,51276089.21,7/2/1991
51,James Bond,IC,52334518.95,8/2/1991
52,Obi Wan,IC,53392948.7,9/2/1991
53,Darth Vader,PP,54451378.44,10/2/1991
54,Obi Wan,FT,55509808.18,11/2/1991
55,James Bond,IC,56568237.92,12/2/1991
56,Ian Flaming,IC,57626667.67,13/2/1991
57,James Bond,IC,58685097.41,14/2/1991
58,Obi Wan,IC,59743527.15,15/2/1991
59,Darth Vader,PP,60801956.9,16/2/1991
60,Obi Wan,FT,61860386.64,17/2/1991
61,James Bond,IC,62918816.38,18/2/1991
62,Ian Flaming,IC,63977246.12,19/2/1991
63,James Bond,IC,65035675.87,20/2/1991
64,Obi Wan,IC,66094105.61,21/2/1991
65,Darth Vader,PP,67152535.35,22/2/1991
66,Obi Wan,FT,68210965.1,23/2/1991
67,James Bond,IC,69269394.84,24/2/1991
68,Ian Flaming,IC,70327824.58,25/2/1991
69,James Bond,IC,71386254.32,26/2/1991
70,Obi Wan,IC,72444684.07,27/2/1991
71,Darth Vader,PP,73503113.81,28/2/1991
72,Obi Wan,FT,74561543.55,1/3/1991
73,James Bond,IC,75619973.3,2/3/1991
74,Ian Flaming,IC,76678403.04,3/3/1991
75,James Bond,IC,77736832.78,4/3/1991
76,Obi Wan,IC,78795262.52,5/3/1991
77,Darth Vader,PP,79853692.27,6/3/1991
78,Obi Wan,FT,80912122.01,7/3/1991
79,James Bond,IC,81970551.75,8/3/1991
80,Ian Flaming,IC,83028981.5,9/3/1991
81,James Bond,IC,84087411.24,10/3/1991
82,Obi Wan,IC,85145840.98,11/3/1991
83,Darth Vader,PP,86204270.72,12/3/1991
84,Obi Wan,FT,87262700.47,13/3/1991
85,James Bond,IC,88321130.21,14/3/1991
86,Ian Flaming,IC,89379559.95,15/3/1991
87,James Bond,IC,90437989.7,16/3/1991
88,Obi Wan,IC,91496419.44,17/3/1991
89,Darth Vader,PP,92554849.18,18/3/1991
90,Obi Wan,FT,93613278.92,19/3/1991
91,James Bond,IC,94671708.67,20/3/1991
92,Ian Flaming,IC,95730138.41,21/3/1991
93,James Bond,IC,96788568.15,22/3/1991
94,Obi Wan,IC,97846997.9,23/3/1991
95,Darth Vader,PP,98905427.64,24/3/1991
96,Obi Wan,FT,99963857.38,25/3/1991
97,James Bond,IC,101022287.1,26/3/1991
98,Ian Flaming,IC,102080716.9,27/3/1991
99,James Bond,IC,103139146.6,28/3/1991
100,Obi Wan,IC,104197576.4,29/3/1991
